id,news,trigger,object,subject,time,location
1,新华社北京4月7日电（记者王优玲）人力资源社会保障部7日启动第七届大中城市联合招聘高校毕业生春季专场活动,启动,人力资源社会保障部,第七届大中城市联合招聘高校毕业生春季专场活动,7日,
2,活动针对高校毕业生特点和需求，集中归集发布一批适合高校毕业生的就业岗位，并鼓励引导供需双方应用高校毕业生精准招聘平台精准匹配对接,发布,活动,一批适合高校毕业生的就业岗位,,
2,活动针对高校毕业生特点和需求，集中归集发布一批适合高校毕业生的就业岗位，并鼓励引导供需双方应用高校毕业生精准招聘平台精准匹配对接,鼓励,活动,供需双方,,
4,图集4月8日，三大运营商中国移动、中国电信和中国联通将联合举行线上发布会，发布5G消息白皮书，携手生态合作伙伴，一起开启5G消息业务全新篇章,举行,三大运营商中国移动、中国电信和中国联通,线上发布会,4月8日,
4,图集4月8日，三大运营商中国移动、中国电信和中国联通将联合举行线上发布会，发布5G消息白皮书，携手生态合作伙伴，一起开启5G消息业务全新篇章,发布,三大运营商中国移动、中国电信和中国联通,5G消息白皮书,4月8日,
6,蓝山科技在年报中称，公司正在开发的5G通信边缘云计算技术、IDC密集网络大数据处理技术和同时同频全双工技术，通过在用户的网络边缘部署云数据中心，搭建5G固移融合平台和网络云化框架体系，突破传统5G通信宏基站部署应用难题，同时提供LTE、无线WiFi、有线、ZigBee、LoRa、NB-IoT等多种网络接入模式，具备大带宽、低时延、海量连接等优势，构建边缘计算新生态，筑建未来5G演进路标,开发,蓝山科技,同时同频全双工技术,,
7,3月2日，湖北省中西医结合医院呼吸与重症医学科主任张继先接受采访,接受,湖北省中西医结合医院呼吸与重症医学科主任张继先,采访,3月2日,
8,12月30日，武汉市卫生健康委向辖区医疗机构发布《关于做好不明原因肺炎救治工作的紧急通知》,发布,武汉市卫生健康委,关于做好不明原因肺炎救治工作的紧急通知,12月30日,
9,1月8日，国家卫健委专家评估组初步确认新冠病毒为疫情病原；1月20日，国家卫健委发布公告，将新冠肺炎纳入传染病防治法规定的乙类传染病并采取甲类传染病的防控措施,确认,国家卫健委专家评估组,新冠病毒为疫情病原,1月8日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,分析,73岁的李兰娟院士,患者的病情,2月11日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,穿上,73岁的李兰娟院士,写着“武汉加油”四个大字的防护服,2月11日,
11,73岁的李兰娟院士，2月11日穿上写着“武汉加油”四个大字的防护服，进入收治重症病人的ICU，逐一分析患者的病情,进入,73岁的李兰娟院士,收治重症病人的ICU,2月11日,
12,4.45万名党员干部职工，下沉到13800多个网格参与排查工作；1.9万名民警加强值守，成为防控前沿的尖兵,参与,4.45万名党员干部职工,排查工作,,
12,4.45万名党员干部职工，下沉到13800多个网格参与排查工作；1.9万名民警加强值守，成为防控前沿的尖兵,加强,1.9万名民警,值守,,
13,新华社发2月16日，武汉再次部署开展为期3天的集中拉网式大排查，摸清底数，推动落实“确诊患者百分之百应收尽收、疑似患者百分之百核酸检测、发热病人百分之百进行检测、密切接触者百分之百隔离、小区村庄百分之百实行24小时封闭管理”等“五个百分之百”，坚决遏制疫情扩散蔓延,开展,武汉,为期3天的集中拉网式大排查,2月16日,
14,4月6日，得知援鄂医疗队员要离开湖北，王欣站在夕阳下，用小提琴拉起了一曲《送别》,离开,援鄂医疗队员,湖北,,
15,应对床位不足，“封城”第二天，火神山、雷神山医院1月24日相继开始建设，十多天建成，创造世界瞩目的“中国速度”,开始,火神山、雷神山医院,建设,1月24日,
16,当日，武汉市举行哀悼活动，表达对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切哀悼,举行,武汉市,哀悼活动,,
17,“湖北人民、武汉人民作出了巨大的牺牲和奉献，逝去的每一位同胞，都值得我们永远铭记,作出,湖北人民、武汉人民,巨大的牺牲和奉献,,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,恢复,武汉市,铁路客站到达业务,3月28日,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,撤除,武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点,,3月22日,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,演练,武汉公交集团部分公交线路,,3月23日,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,试跑,110余路公交车,,3月23日,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,解除,武汉市以外地区,离鄂通道管控,3月25日零时起,
18,新华社记者熊琦摄3月22日，武汉市27个过江桥梁防疫检测点和主城区近80个防疫检查点全部撤除；3月23日，武汉公交集团部分公交线路实际演练，110余路公交车上街试跑；3月25日零时起，武汉市以外地区解除离鄂通道管控；4月8日零时起，武汉市将解除离汉离鄂通道管控措施……3月28日，武汉市恢复铁路客站到达业务，旅客乘坐高铁列车从全国各地抵达武汉,解除,武汉市,离汉离鄂通道管控措施,4月8日零时起,
19,截至4月4日，武汉规上工业企业开工2853户，开工率97.2%，规上工业企业用电量已恢复到去年同期的八成以上,恢复,规上工业企业用电量,去年同期的八成以上,4月4日,武汉
20,”民警刘钰琨检查到一辆私家车车主携带的证明不全，将其劝返,检查,民警刘钰琨,一辆私家车车主,,
20,”民警刘钰琨检查到一辆私家车车主携带的证明不全，将其劝返,劝返,民警刘钰琨,一辆私家车车主,,
21,”王女士告诉记者，自己和丈夫在江汉路步行街开早点摊，春节前带孩子回乡,回乡,孩子,,,
22,武汉站党委副书记刘瑾告诉记者，4月8日当天车票已售出2.2万余张，运力为去年同期的1/4，但防疫不能放松，工作人员将引导旅客戴好口罩、分散候车、间隔排队，确保离汉通道安全有序,售出,车票,2.2万余张,4月8日当天,
23,”航站区管理部运行控制中心主任戴宗东介绍，目前机场工作人员已全部到岗，统一接受了岗前防疫知识培训、熟悉新的工作规范,到岗,机场工作人员,,,
23,”航站区管理部运行控制中心主任戴宗东介绍，目前机场工作人员已全部到岗，统一接受了岗前防疫知识培训、熟悉新的工作规范,接受,机场工作人员,岗前防疫知识培训,,
23,”航站区管理部运行控制中心主任戴宗东介绍，目前机场工作人员已全部到岗，统一接受了岗前防疫知识培训、熟悉新的工作规范,熟悉,机场工作人员,新的工作规范,,
25,”技术中心副主任杨彦鼎介绍，技术中心参与了1500辆东风风神E70抗疫健康车的技术升级，无人驾驶车的部分功能已在此次疫情中有所展现,参与,技术中心,1500辆东风风神E70抗疫健康车的技术升级,,
26,公司总经理钱建安介绍，他们主动出击，外拓市场，一个多月来先后设立苏州分工厂、南京研发中心，并在天津、无锡成立了办事处,设立,他们,苏州分工厂、南京研发中心,,
26,公司总经理钱建安介绍，他们主动出击，外拓市场，一个多月来先后设立苏州分工厂、南京研发中心，并在天津、无锡成立了办事处,成立,他们,办事处,,无锡
27,”武汉华中数控股份有限公司副总裁李社林告诉记者：“疫情期间，公司加紧生产了2000余台人体测温红外热像仪,生产,武汉华中数控股份有限公司,2000余台人体测温红外热像仪,,
28,夏剑在查房时反复叮嘱导诊护士，严格按照先筛查后入院的程序，对所有住院患者都要进行新冠肺炎病毒核酸检测和抗体检测，并拍摄CT,叮嘱,夏剑,导诊护士,,
29,袁莉介绍，近日协和医院门急诊量每天增长两三百人次，目前已超1600人次,增长,协和医院门急诊量,两三百人次,,
30,中南医院体检中心副主任程向群介绍，这是该中心重新开业的第一天，一个上午便有近300人完成体检，其中大部分是等待复工的人员,完成,近300人,体检,,中南医院体检中心
31,图集新华网北京4月8日电（于子茹）最高检8日召开新闻发布会，通报全国检察机关打击网络犯罪工作情况,召开,最高检,新闻发布会,8日,
31,图集新华网北京4月8日电（于子茹）最高检8日召开新闻发布会，通报全国检察机关打击网络犯罪工作情况,通报,最高检,全国检察机关打击网络犯罪工作情况,8日,
32,其中，南京、合肥、杭州等多地选择通过支付宝发放消费券，发放金额超过40亿元,选择,南京、合肥、杭州等多地,通过支付宝发放消费券,,
33,发放消费券以来，店里的人流明显多了起来，营业额比刚复工时每天增加了700元到1000元,增加,营业额,700元到1000元,,
34,3月31日，商务部、海关总署、国家药品监督管理局联合发布《关于有序开展医疗物资出口的公告》，要求出口的新冠病毒检测试剂、医用口罩、医用防护服、呼吸机、红外体温计等5类产品必须取得国家药品监管部门相关资质，符合进口国（地区）质量标准要求,发布,国家药品监督管理局,关于有序开展医疗物资出口的公告,3月31日,
35,新华社北京4月7日电（记者孙少龙）记者7日从民政部获悉，民政部近日对各地提出指导意见，要求各地及时调整完善疫情防控策略，有序恢复养老服务秩序,提出,民政部,指导意见,7日,
37,目前，济南、青岛、烟台、潍坊、临沂等地均已开通欧亚班列，2019年“齐鲁号”欧亚班列累计开行1054列，直达“一带一路”沿线13个国家41个城市，初步建成东连日韩、西接欧亚、北至俄罗斯、南到东南亚的海铁联运国际物流大通道,开通,济南、青岛、烟台、潍坊、临沂等地,欧亚班列,,
37,目前，济南、青岛、烟台、潍坊、临沂等地均已开通欧亚班列，2019年“齐鲁号”欧亚班列累计开行1054列，直达“一带一路”沿线13个国家41个城市，初步建成东连日韩、西接欧亚、北至俄罗斯、南到东南亚的海铁联运国际物流大通道,开行,“齐鲁号”欧亚班列,1054列,2019年,
38,”1月23日凌晨，武汉发布通告：上午10时起暂时关闭离汉通道,关闭,武汉,离汉通道,1月23日凌晨,
39,高峰时，湖北省共设立248家定点医院、678家发热门诊、1654个隔离观察点，仅武汉市就开辟了16家方舱医院,设立,湖北省,1654个隔离观察点,,
39,高峰时，湖北省共设立248家定点医院、678家发热门诊、1654个隔离观察点，仅武汉市就开辟了16家方舱医院,开辟,武汉市,16家方舱医院,,
40,接下来，全国股转公司将推动加快新三板基金产品的审核速度；新三板市场还拟开发指数类产品等适宜专业机构投资者的投资标的,推动,全国股转公司,加快新三板基金产品的审核速度,,
42,据介绍，去年底以来，全国股转公司组织开展了针对公募基金公司的宣介动员，鼓励和推动公募基金积极参与新三板市场,开展,全国股转公司,针对公募基金公司的宣介动员,,
42,据介绍，去年底以来，全国股转公司组织开展了针对公募基金公司的宣介动员，鼓励和推动公募基金积极参与新三板市场,鼓励,全国股转公司,公募基金积极参与新三板市场,,
43,学生们保持间距排队来到校门入口，接受手部和行李消毒，接着走进热成像测温通道，完成体温检测后，进入学校,接受,学生们,手部和行李消毒,,
43,学生们保持间距排队来到校门入口，接受手部和行李消毒，接着走进热成像测温通道，完成体温检测后，进入学校,排队,学生们,来到校门入口,,
43,学生们保持间距排队来到校门入口，接受手部和行李消毒，接着走进热成像测温通道，完成体温检测后，进入学校,走进,学生们,热成像测温通道,,
43,学生们保持间距排队来到校门入口，接受手部和行李消毒，接着走进热成像测温通道，完成体温检测后，进入学校,完成,学生们,体温检测,,
43,学生们保持间距排队来到校门入口，接受手部和行李消毒，接着走进热成像测温通道，完成体温检测后，进入学校,进入,学生们,学校,,
44,每名学生均由班主任引领至固定位置就座,引领,班主任,学生,,
51,湖北省新冠肺炎疫情防控工作指挥部7日召开第66场新闻发布会，武汉市政协主席、武汉市疫情防控指挥部副指挥长胡曙光介绍，经过艰苦的努力，武汉的疫情防控工作取得了阶段性重要成果,召开,湖北省新冠肺炎疫情防控工作指挥部,第66场新闻发布会,7日,
52,胡曙光介绍，8日离汉通道打开以后，武汉将按照科学精准、防放并举、安全有序、确保稳定的原则开展各项工作,打开,离汉通道,,8日,
53,胡曙光介绍，武汉过去的防控任务是外防输出，对全国作出了贡献,作出,武汉过去的防控任务,贡献,,
54,但是武汉城门打开以后，武汉增加了外防输入风险,增加,武汉,外防输入风险,,
56,记者从人力资源和社会保障部获悉，4月7日，人社部启动第七届大中城市联合招聘高校毕业生春季专场活动,启动,人社部,第七届大中城市联合招聘高校毕业生春季专场活动,4月7日,
57,针对高校毕业生，重庆建立“人社+教育+高校+区县”四方联动机制，组织“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动，提供优质岗位12万个；黑龙江利用“广播+电视大屏+手机小屏”的方式，推出融媒体直播云聘会，组织15家企业通过电视直播开展“云”上宣讲，涵盖高新技术、环保和新能源、农产品、物流等多个领域；湖南统筹线上线下招聘，14个市州每隔一天推出一场主题招聘会，根据疫情防控、产业发展、企业急需作出招聘排期,建立,重庆,人社+教育+高校+区县”四方联动机制,,
57,针对高校毕业生，重庆建立“人社+教育+高校+区县”四方联动机制，组织“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动，提供优质岗位12万个；黑龙江利用“广播+电视大屏+手机小屏”的方式，推出融媒体直播云聘会，组织15家企业通过电视直播开展“云”上宣讲，涵盖高新技术、环保和新能源、农产品、物流等多个领域；湖南统筹线上线下招聘，14个市州每隔一天推出一场主题招聘会，根据疫情防控、产业发展、企业急需作出招聘排期,组织,重庆,“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动,,
57,针对高校毕业生，重庆建立“人社+教育+高校+区县”四方联动机制，组织“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动，提供优质岗位12万个；黑龙江利用“广播+电视大屏+手机小屏”的方式，推出融媒体直播云聘会，组织15家企业通过电视直播开展“云”上宣讲，涵盖高新技术、环保和新能源、农产品、物流等多个领域；湖南统筹线上线下招聘，14个市州每隔一天推出一场主题招聘会，根据疫情防控、产业发展、企业急需作出招聘排期,推出,黑龙江,融媒体直播云聘会,,
57,针对高校毕业生，重庆建立“人社+教育+高校+区县”四方联动机制，组织“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动，提供优质岗位12万个；黑龙江利用“广播+电视大屏+手机小屏”的方式，推出融媒体直播云聘会，组织15家企业通过电视直播开展“云”上宣讲，涵盖高新技术、环保和新能源、农产品、物流等多个领域；湖南统筹线上线下招聘，14个市州每隔一天推出一场主题招聘会，根据疫情防控、产业发展、企业急需作出招聘排期,开展,15家企业,“云”上宣讲,,
57,针对高校毕业生，重庆建立“人社+教育+高校+区县”四方联动机制，组织“百万英才兴重庆”“就在山城圆梦青春”系列引才招聘活动，提供优质岗位12万个；黑龙江利用“广播+电视大屏+手机小屏”的方式，推出融媒体直播云聘会，组织15家企业通过电视直播开展“云”上宣讲，涵盖高新技术、环保和新能源、农产品、物流等多个领域；湖南统筹线上线下招聘，14个市州每隔一天推出一场主题招聘会，根据疫情防控、产业发展、企业急需作出招聘排期,推出,14个市州,主题招聘会,,湖南
59,中央依法治国办启动实地督察反馈整改工作新华社记者白阳记者7日从中央依法治国办获悉，中央依法治国办近日启动2019年法治政府建设实地督察反馈整改工作，向8个被督察省份印发书面反馈意见，督促8省强化各级党政领导干部加快推进法治政府建设的责任，全面整改督察中发现的各项问题,启动,中央依法治国办,2019年法治政府建设实地督察反馈整改工作,,
59,中央依法治国办启动实地督察反馈整改工作新华社记者白阳记者7日从中央依法治国办获悉，中央依法治国办近日启动2019年法治政府建设实地督察反馈整改工作，向8个被督察省份印发书面反馈意见，督促8省强化各级党政领导干部加快推进法治政府建设的责任，全面整改督察中发现的各项问题,印发,中央依法治国办,书面反馈意见,,
59,中央依法治国办启动实地督察反馈整改工作新华社记者白阳记者7日从中央依法治国办获悉，中央依法治国办近日启动2019年法治政府建设实地督察反馈整改工作，向8个被督察省份印发书面反馈意见，督促8省强化各级党政领导干部加快推进法治政府建设的责任，全面整改督察中发现的各项问题,督促,中央依法治国办,8省,,
60,根据中央依法治国办的反馈意见，总的来看，党的十八大以来，各地区党委、政府扎实推进《法治政府建设实施纲要（2015-2020年）》确定的各项目标任务，法治政府建设取得积极成效,推进,各地区党委、政府,《法治政府建设实施纲要（2015-2020年）》确定的各项目标任务,,
62,今年全国普通高校毕业生874万人，同比增加40万人，规模创历史新高,增加,全国普通高校毕业生,40万人,今年,
63,对此，各地各部门相继出台措施，开拓渠道，为毕业生早就业就好业创造条件,创造,各地各部门,条件,,
64,教育部联合地方、高校以及社会知名招聘网站共同开展“24365校园招聘服务”，为高校毕业生提供24小时全年365天的网上校园招聘服务,开展,教育部联合地方、高校以及社会知名招聘网站,24365校园招聘服务,,
65,3月20日，教育部大学生就业网（新职业网）正式推出网上签约平台,推出,教育部大学生就业网,网上签约平台,3月20日,
66,此外，各高校近期日均举办各级各类网络招聘活动2000余场，3月已累计举办7万场不同类型的招聘活动,举办,各高校,各级各类网络招聘活动2000余场,,
66,此外，各高校近期日均举办各级各类网络招聘活动2000余场，3月已累计举办7万场不同类型的招聘活动,举办,各高校,7万场不同类型的招聘活动,3月,
68,中国电科、中国航材、中国中车等均于近期举办校园招聘专场活动,举办,中国电科、中国航材、中国中车等,校园招聘专场活动,,
69,哈电集团与清华大学、上海交通大学、浙江大学等国内知名高校对接，启动春季校园招聘工作,启动,哈电集团与清华大学、上海交通大学、浙江大学等国内知名高校,春季校园招聘工作,,
70,三峡集团今年高校毕业生春季招聘，专门拿出200个岗位定向招聘湖北地区高校毕业生，并提出在同等条件下优先录用抗疫一线医务人员子女,提出,三峡集团,在同等条件下优先录用抗疫一线医务人员子女,,
70,三峡集团今年高校毕业生春季招聘，专门拿出200个岗位定向招聘湖北地区高校毕业生，并提出在同等条件下优先录用抗疫一线医务人员子女,拿出,三峡集团,200个岗位,,
71,新华社广州4月7日电（记者毛鑫）广州市公安局7日通报，广州警方近日对1名违反疫情防控管理的外籍男子依法作出限期出境处罚,作出,广州警方近日对1名违反疫情防控管理的外籍男子,限期出境处罚,7日,
72,同时，因其违反中国法律、法规规定，妨害社会管理，根据《中华人民共和国出境入境管理法》第八十一条，越秀区公安分局于4月3日对其作出限期出境处罚,作出,越秀区公安分局,限期出境处罚,4月3日,
73,新华社北京4月7日电（记者陈菲）最高人民检察院、公安部近日共同制定并印发《关于加强和规范补充侦查工作的指导意见》，对进一步完善以证据为核心的刑事指控体系，加强和规范补充侦查工作，提高办案质效，确保公正司法提出了明确要求,制定,最高人民检察院、公安部,关于加强和规范补充侦查工作的指导意见,,
76,”在湖北潜江小龙虾交易中心，正在搬运小龙虾的盛农园水产老板王虎告诉记者，他刚从养殖户手中收购了十几箱小龙虾，分拣打包好之后，当天就要发往广东韶关,收购,盛农园水产老板王虎,十几箱小龙虾,,
79,龙湾镇成立了疫情防控宣传小组，要求外出劳作的农户严格做好防护,成立,龙湾镇,疫情防控宣传小组,,
80,西湖银泰副总经理曹铭良表示，针对第二期杭州消费券，银泰百货拿出10亿元优惠让利给消费者，努力恢复消费信心,拿出,银泰百货,10亿元优惠,,
81,4月5日，新京报举办主题为“最大化激发消费券乘数效应”的线上学术研讨会,举办,新京报,主题为“最大化激发消费券乘数效应”的线上学术研讨会,4月5日,
82,根据公开资料，深圳罗湖、重庆渝中、青岛城阳区等地选择通过微信发放数千万元不等的消费券，银川兴庆区通过美团APP发放500万元餐饮类电子消费券，南京、广西、杭州、佛山、郑州等多地选择通过支付宝发放消费券,选择,深圳罗湖、重庆渝中、青岛城阳区等地,通过微信发放数千万元不等的消费券,,
82,根据公开资料，深圳罗湖、重庆渝中、青岛城阳区等地选择通过微信发放数千万元不等的消费券，银川兴庆区通过美团APP发放500万元餐饮类电子消费券，南京、广西、杭州、佛山、郑州等多地选择通过支付宝发放消费券,发放,银川兴庆区,500万元餐饮类电子消费券,,
82,根据公开资料，深圳罗湖、重庆渝中、青岛城阳区等地选择通过微信发放数千万元不等的消费券，银川兴庆区通过美团APP发放500万元餐饮类电子消费券，南京、广西、杭州、佛山、郑州等多地选择通过支付宝发放消费券,选择,南京、广西、杭州、佛山、郑州等多地,通过支付宝发放消费券,,
83,例如广西消费券不仅扶持线下商家，还支持线上广西本地企业,支持,广西消费券,线上广西本地企业,,
83,例如广西消费券不仅扶持线下商家，还支持线上广西本地企业,扶持,广西消费券,线下商家,,
84,近日，首只投资法国市场的ETF开始发行,发行,首只投资法国市场的ETF,法国市场,,
86,如公募首只投资越南市场的产品——天弘越南市场基金今年1月发行，限售2亿元，引发投资者踊跃认购,发行,公募首只投资越南市场的产品——天弘越南市场基金,,今年1月,
87,孙春兰在武汉大学召开座谈会，听取湖北、武汉、在汉高校负责同志和毕业生代表介绍有关就业情况,召开,孙春兰,座谈会,,武汉大学
